city,highest_max_temp,avg_max_temp,lowest_min_temp,avg_min_temp,avg_humidity,total_rainfall,max_wind_speed,avg_cloudcover,temp_range
Thane,40.0,33.45388888888889,15.6,21.298333333333332,62.83798882681564,411.9,22.7,35.12849162011173,12.155555555555559
Mumbai,37.6,31.95277777777778,17.9,22.703333333333333,61.71508379888268,365.8,28.1,34.072625698324025,9.249444444444446
Vadodara,37.4,31.49833333333333,13.0,20.04111111111111,55.06145251396648,344.5,20.4,22.877094972067038,11.45722222222222
Ahmedabad,36.8,30.99777777777778,12.6,20.013333333333335,50.402234636871505,191.8,22.0,19.58659217877095,10.984444444444446
Pune,37.0,30.819444444444443,12.4,19.170555555555556,58.513966480446925,287.9,26.9,40.25698324022346,11.648888888888887
Nagpur,36.8,30.69888888888889,12.2,19.683333333333334,55.8268156424581,276.5,23.8,33.84357541899441,11.015555555555558
Visakhapatnam,35.9,30.468333333333334,15.5,22.083333333333332,76.09497206703911,454.5,28.7,47.54189944134078,8.385000000000002
Hyderabad,36.2,30.05111111111111,15.5,20.705000000000002,61.513966480446925,203.0,24.9,48.06703910614525,9.346111111111107
Chennai,36.5,30.033333333333335,19.9,24.00888888888889,77.68156424581005,967.3000000000001,48.7,62.56983240223464,6.024444444444445
Kolkata,34.3,28.74,12.0,19.842777777777776,74.2122905027933,591.1,31.6,37.92178770949721,8.897222222222222
Indore,34.2,28.56222222222222,8.0,17.523333333333333,55.03351955307262,140.2,25.7,23.553072625698324,11.038888888888888
Bangalore,34.0,28.02277777777778,14.2,18.19888888888889,69.18994413407822,401.0,29.9,65.4804469273743,9.823888888888888
Bhopal,33.4,27.962777777777777,7.6,16.70888888888889,60.22346368715084,160.2,24.3,23.75418994413408,11.253888888888888
Kanpur,34.3,26.979444444444447,7.5,16.378888888888888,68.22905027932961,256.2,33.2,19.608938547486034,10.600555555555559
Patna,34.7,26.878888888888888,8.5,17.571666666666665,73.26256983240224,203.3,32.2,23.893854748603353,9.307222222222222
Lucknow,34.8,26.854999999999997,7.6,16.418333333333333,69.05027932960894,228.1,31.4,19.960893854748605,10.436666666666664
Jaipur,34.8,26.657222222222224,6.3,15.650555555555554,58.26815642458101,84.6,27.9,17.06145251396648,11.00666666666667
Ghaziabad,34.2,25.747222222222224,5.6,14.475,71.04469273743017,375.5,28.7,18.77094972067039,11.272222222222224
Delhi,34.8,25.646666666666665,5.3,14.412222222222221,70.79888268156425,319.5,25.5,18.77094972067039,11.234444444444444
Ludhiana,36.6,24.754444444444445,3.4,13.438333333333334,73.98882681564245,181.7,24.0,20.960893854748605,11.31611111111111
